0.013;0.055;1.12;3.465;-4.655;-6.72;1001.698;0.394
0.003;0.06;0.983;3.57;-4.41;-7.0;1001.698;0.384
0.02;0.048;1.115;3.22;-4.06;-5.915;1001.612;1.101
0.004;0.054;1.007;3.36;-4.095;-6.09;1001.64;0.893
0.02;0.047;1.12;3.115;-4.515;-5.775;1001.613;1.05
0.0;0.055;1.013;2.975;-3.85;-5.18;1001.61;1.123
0.016;0.048;1.01;3.395;-4.62;-6.825;1001.61;1.129
0.02;0.048;0.992;3.395;-4.62;-5.74;1001.648;0.828
0.007;0.058;0.993;3.36;-4.55;-6.58;1001.635;0.907
0.012;0.062;0.986;3.115;-4.375;-5.635;1001.635;0.913
0.009;0.037;0.994;2.905;-4.165;-6.65;1001.679;0.551
0.019;0.046;0.876;2.975;-4.41;-6.825;1001.578;1.387
0.01;0.061;1.017;3.36;-4.62;-6.405;1001.634;1.042
0.016;0.047;0.874;0.875;-7.91;-6.615;1001.634;0.925
0.005;0.06;1.002;2.66;-4.655;-5.67;1001.689;0.468
0.021;0.055;0.992;3.115;-4.62;-6.755;1001.638;0.866
0.007;0.053;0.995;3.08;-4.165;-5.88;1001.613;1.05
0.006;0.045;0.997;3.465;-4.445;-6.895;1001.613;1.099
0.02;0.047;1.001;3.255;-4.935;-5.95;1001.665;0.694
0.008;0.06;0.983;3.185;-4.13;-5.53;1001.667;0.646
0.006;0.054;0.996;2.94;-4.725;-6.755;1001.667;0.644
0.01;0.062;1.013;3.465;-4.2;-5.95;1001.656;0.737
0.012;0.047;0.998;3.605;-4.445;-4.795;1001.703;0.369
0.015;0.048;0.998;2.975;-4.41;-4.795;1001.611;0.925
0.02;0.061;0.979;3.255;-4.935;-6.23;1001.611;1.114
0.01;0.057;0.996;3.22;-4.445;-4.69;1001.63;0.97
0.019;0.058;1.007;3.255;-4.235;-6.09;1001.683;0.54
0.02;0.037;0.986;3.43;-4.69;-6.23;1001.634;0.824
0.023;0.044;0.989;3.64;-4.69;-5.775;1001.634;0.921
