pref;uptime;ax;ay;az;gx;gy;gz;mx;my;mz;pressure;altitude;tempreature;simulation;one;two;three;four;five;six;seven;eight
DAT;203318; 0.002; 0.062; 0.988; 3.185; -4.130; -4.480; -1.104; 0.483; -2.970; 1001.719; 0.191; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203362; 0.024; 0.061; 0.990; 3.500; -4.620; -5.740; -1.104; 0.483; -2.970; 1001.719; 0.213; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203406; 0.009; 0.062; 1.102; 3.640; -4.130; -7.210; -1.104; 0.483; -2.967; 1001.790; -0.347; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203472; 0.002; 0.060; 0.987; 3.220; -4.025; -5.355; -1.104; 0.483; -2.967; 1001.740; 0.004; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203516; -0.018; 0.061; 0.885; 2.695; -3.885; -6.160; -1.101; 0.482; -2.976; 1001.740; 0.028; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203582; 0.047; 0.169; 0.967; 2.625; -4.235; -4.795; -1.101; 0.482; -2.976; 1001.769; -0.203; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203626; 0.017; 0.054; 0.983; 2.555; -4.620; -6.615; -1.106; 0.483; -2.969; 1001.701; 0.327; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203670; 0.001; 0.030; 0.972; 3.570; -4.165; -7.140; -1.106; 0.483; -2.969; 1001.701; 0.360; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203736; 0.003; 0.116; 1.035; 3.220; -4.025; -6.230; -1.101; 0.481; -2.972; 1001.712; 0.271; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203780; 0.015; 0.048; 0.970; 3.535; -3.850; -8.400; -1.101; 0.481; -2.972; 1001.639; 0.729; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203824; 0.046; 0.196; 0.988; 2.205; -3.990; -3.745; -1.106; 0.484; -2.971; 1001.639; 0.873; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203890; -0.127; 0.104; 1.286; 4.935; 8.820; -6.300; -1.106; 0.484; -2.971; 1001.741; 0.036; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203934; 0.241; 0.152; 3.709; 24.290; -6.370; 12.705; -1.104; 0.481; -2.974; 1001.739; 0.038; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;204000; -0.075; 0.234; 6.312; 15.120; -44.905; 42.490; -1.053; 0.456; -2.958; 1001.739; 0.042; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;204044; 0.054; 0.242; 12.966; -24.080; -35.175; 63.525; -1.053; 0.456; -2.958; 1001.795; -0.404; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;204088; -0.872; 1.240; 15.989; -8.855; -15.575; 66.045; -1.053; 0.456; -2.958; 1001.789; -0.390; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;204154; -1.863; 1.687; 15.989; 42.035; 82.635; 2.975; -1.044; 0.469; -3.015; 1001.789; -0.378; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;204199; 4.964; -3.138; 15.989; 286.685; 143.325; 140.560; -0.996; 0.504; -2.992; 1001.659; 0.648; -2; 0.000; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204243; 0.133; 0.003; 15.989; -62.930; 1.470; -33.425; -0.996; 0.504; -2.992; 1001.659; 0.712; -2; 0.000; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204309; -1.104; 2.073; 15.989; -55.265; -15.505; -131.110; -1.011; 0.499; -2.995; 1001.742; 0.030; -2; 1.522; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204353; 0.391; 1.926; 15.989; -112.035; 19.705; -120.855; -1.011; 0.499; -2.995; 1001.824; -0.632; -2; 1.522; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204419; 3.689; 3.407; 15.989; 51.450; 143.325; -148.610; -1.044; 0.529; -2.963; 1001.619; 0.620; -2; 1.522; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204463; 0.073; 1.215; 8.332; -114.100; 140.665; -47.425; -1.044; 0.529; -2.963; 1001.619; 1.024; -2; 30.640; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204507; 0.915; 0.252; 7.294; 112.245; 23.905; -109.620; -1.065; 0.538; -2.967; 1001.784; -0.252; -2; 30.640; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204595; -1.201; 0.237; 2.048; 79.065; 20.335; -4.270; -1.064; 0.507; -2.982; 1000.978; 6.027; -2; 30.640; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204639; -0.159; -0.892; 1.658; 91.105; -10.990; 39.305; -1.064; 0.507; -2.982; 1000.978; 6.425; -2; 306.283; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204683; 0.361; -0.839; 3.402; 59.465; 11.480; 59.255; -1.064; 0.507; -2.982; 999.595; 17.381; -2; 38.473; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204773; 0.205; -0.117; 1.561; -5.740; 11.620; 128.870; -1.041; 0.463; -2.995; 998.447; 27.644; -2; 1578.840; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204839; 0.172; 0.162; 1.683; -39.865; 10.570; 136.745; -1.017; 0.493; -2.999; 997.702; 33.693; -2; 1073.063; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204927; 0.492; 0.706; 0.630; -38.500; 25.550; 75.355; -0.967; 0.558; -2.990; 997.354; 36.845; -2; 476.526; 0; 1; 0; 0; 0; 0; 0; 0
DAT;204973; 0.110; 0.059; -0.785; 6.650; -19.460; 40.530; -0.967; 0.558; -2.990; 996.532; 42.228; -2; 115.019; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205017; 0.373; -0.305; 0.654; -18.375; -38.850; 43.435; -0.933; 0.578; -2.992; 996.532; 43.867; -2; 435.541; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205127; -0.413; 0.429; 0.202; 3.360; 22.890; 50.120; -0.943; 0.586; -2.980; 994.534; 58.892; -2; 78.044; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205173; -0.390; 0.522; 0.097; 35.945; -7.840; 46.165; -0.943; 0.586; -2.980; 994.534; 60.758; -2; 1024.749; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205241; -0.268; 0.296; -0.026; 53.235; 35.700; 51.835; -0.920; 0.596; -2.995; 993.615; 68.178; -2; 742.974; 0; 1; 0; 0; 0; 0; 0; 0
